model,bit,wiki2,ptb,c4,ptb-new,c4-new
llama2-7b,4,6.025,27.119,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
llama2-7b,4,6.025,27.119,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
llama2-7b,4,,,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
llama2-7b,4,6.025,,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
llama2-7b,4,,,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
,4,,c4},,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
./llama2-7b,4,,,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
./llama2-7b,4,,,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
./llama2-7b,4,,,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
./llama2-7b,4,,,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
./llama2-7b,4,,,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
./llama2-7b,4,6.028,,,,
model,bit,wiki2,ptb,c4,ptb-new,c4-new
./llama2-7b,4,6.033,,,,
